Count,Tradelist Count,Name,Edition,Card Number,Condition,Language,Foil,Signed,Artist Proof,Altered Art,Misprint,Promo,Textless,My Price
2,0,Abattoir Ghoul,Innistrad,85,Near Mint,English,,,,,,,,
1,0,Abbey Griffin,Innistrad,1,Near Mint,English,,,,,,,,
1,0,Absorb,Invasion,226,Near Mint,English,,,,,,,,
2,0,Abzan Ascendancy,Khans of Tarkir,160,Near Mint,English,,,,,,,,
4,0,Abzan Banner,Khans of Tarkir,215,Near Mint,English,,,,,,,,
1,0,Abzan Battle Priest,Khans of Tarkir,1,Near Mint,English,,,,,,,,
2,0,Abzan Falconer,Khans of Tarkir,2,Near Mint,English,,,,,,,,0
1,0,Academy Ruins,Time Spiral,269,Near Mint,English,,,,,,,,
1,0,Accomplished Automaton,Kaladesh,191,Near Mint,English,,,,,,,,
1,0,Acidic Slime,Magic 2012,161,Near Mint,English,,,,,,,,0
1,0,Acidic Sliver,Premium Deck Series: Slivers,13,Near Mint,English,foil,,,,,,,0
2,0,Acquire,Fifth Dawn,21,Near Mint,English,,,,,,,,
1,0,Act of Treason,Duel Decks: Speed vs. Cunning,26,Near Mint,English,,,,,,,,0
3,0,Act of Treason,Khans of Tarkir,95,Near Mint,English,,,,,,,,0
1,0,Advanced Stitchwing,Eldritch Moon,49,Near Mint,English,,,,,,,,
2,0,Aegis Automaton,Aether Revolt,141,Near Mint,English,,,,,,,,
1,0,Aegis Automaton,Aether Revolt,141,Near Mint,English,foil,,,,,,,0
1,0,Aether Adept,Magic 2012,41,Near Mint,English,,,,,,,,
1,0,Aether Chaser,Aether Revolt,76,Near Mint,English,,,,,,,,0
2,0,Aether Inspector,Aether Revolt,3,Near Mint,English,,,,,,,,0
1,0,Aether Poisoner,Aether Revolt,51,Near Mint,English,,,,,,,,
1,0,Aether Poisoner,Aether Revolt,51,Near Mint,English,foil,,,,,,,0
4,0,Aether Swooper,Aether Revolt,26,Near Mint,English,,,,,,,,
2,0,Aether Tradewinds,Kaladesh,38,Near Mint,English,,,,,,,,
1,0,Aethergeode Miner,Aether Revolt,4,Near Mint,English,,,,,,,,
1,0,Agadeem Occultist,Worldwake,48,Near Mint,English,,,,,,,,
2,0,Aggravate,Avacyn Restored,125,Near Mint,English,,,,,,,,
3,0,Ainok Bond-Kin,Khans of Tarkir,3,Near Mint,English,,,,,,,,
4,0,Ainok Tracker,Khans of Tarkir,96,Near Mint,English,,,,,,,,
1,0,Airdrop Aeronauts,Aether Revolt,5,Near Mint,English,,,,,,,,
1,0,Ajani Unyielding,Aether Revolt,127,Near Mint,English,,,,,,,,
1,0,Akoum Refuge,Duel Decks: Zendikar vs. Eldrazi,67,Near Mint,English,,,,,,,,
4,0,Alabaster Kirin,Khans of Tarkir,4,Near Mint,English,,,,,,,,
2,0,Alchemist's Greeting,Eldritch Moon,116,Near Mint,English,,,,,,,,
1,0,"Alesha, Who Smiles at Death",Commander 2016,119,Near Mint,English,,,,,,,,0
1,0,Aligned Hedron Network,Battle for Zendikar,222,Near Mint,English,,,,,,,,
3,0,Alley Evasion,Aether Revolt,6,Near Mint,English,,,,,,,,
1,0,Alley Strangler,Aether Revolt,52,Near Mint,English,,,,,,,,
1,0,Allosaurus Rider,Coldsnap,101,Near Mint,English,,,,,,,,
1,0,Alloy Myr,New Phyrexia,129,Near Mint,English,,,,,,,,0
1,0,Alpha Status,Scourge,110,Near Mint,English,,,,,,,,
1,0,Altar of the Brood,Khans of Tarkir,216,Near Mint,English,,,,,,,,
1,0,Altar's Reap,Innistrad,86,Near Mint,English,,,,,,,,0
1,0,Ambitious Aetherborn,Kaladesh,72,Near Mint,English,,,,,,,,
1,0,Amoeboid Changeling,Premium Deck Series: Slivers,3,Near Mint,English,foil,,,,,,,0
1,0,Amphin Cutthroat,Magic 2012,43,Near Mint,English,,,,,,,,
2,0,Amulet of Vigor,Worldwake,121,Near Mint,English,,,,,,,,0
1,0,Ancient Amphitheater,Commander 2015,276,Near Mint,English,,,,,,,,
